town,street_names
ANG MO KIO,"['ANG MO KIO AVENUE 10', 'ANG MO KIO AVENUE 1', 'ANG MO KIO AVENUE 3', 'ANG MO KIO AVENUE 6', 'ANG MO KIO AVENUE 4', 'ANG MO KIO AVENUE 5', 'ANG MO KIO AVENUE 8', 'ANG MO KIO STREET 32', 'ANG MO KIO AVENUE 2', 'ANG MO KIO STREET 52', 'ANG MO KIO STREET 31', 'ANG MO KIO AVENUE 9', 'ANG MO KIO STREET 11', 'ANG MO KIO STREET 21', 'ANG MO KIO STREET 61', 'ANG MO KIO STREET 44', 'ANG MO KIO STREET 51']"
BEDOK,"['BEDOK NORTH STREET 3', 'BEDOK NORTH ROAD', 'BEDOK RESERVOIR ROAD', 'BEDOK CENTRAL', 'BEDOK NORTH AVENUE 2', 'BEDOK SOUTH AVENUE 2', 'BEDOK RESERVOIR VIEW', 'NEW UPPER CHANGI ROAD', 'LENGKONG TIGA', 'CHAI CHEE STREET', 'BEDOK NORTH STREET 2', 'CHAI CHEE AVENUE', 'CHAI CHEE ROAD', 'JALAN TENAGA', 'BEDOK NORTH AVENUE 1', 'BEDOK SOUTH AVENUE 3', 'BEDOK NORTH AVENUE 3', 'BEDOK NORTH STREET 1', 'BEDOK SOUTH ROAD', 'BEDOK NORTH STREET 4', 'BEDOK SOUTH AVENUE 1', 'JALAN DAMAI', 'BEDOK NORTH AVENUE 4', 'CHAI CHEE DRIVE', 'BEDOK RESERVOIR CRESCENT']"
BISHAN,"['BISHAN STREET 12', 'BISHAN STREET 22', 'BISHAN STREET 13', 'SIN MING ROAD', 'BISHAN STREET 24', 'BISHAN STREET 23', 'BRIGHT HILL DRIVE', 'SIN MING AVENUE', 'SHUNFU ROAD', 'BISHAN STREET 11']"
BUKIT BATOK,"['BUKIT BATOK WEST AVENUE 4', 'BUKIT BATOK EAST AVENUE 5', 'BUKIT BATOK STREET 32', 'BUKIT BATOK STREET 21', 'BUKIT BATOK STREET 24', 'BUKIT BATOK EAST AVENUE 3', 'BUKIT BATOK EAST AVENUE 4', 'BUKIT BATOK STREET 11', 'BUKIT BATOK CENTRAL', 'BUKIT BATOK STREET 25', 'BUKIT BATOK WEST AVENUE 8', 'BUKIT BATOK STREET 33', 'BUKIT BATOK STREET 31', 'BUKIT BATOK WEST AVENUE 6', 'BUKIT BATOK WEST AVENUE 2', 'BUKIT BATOK WEST AVENUE 5', 'BUKIT BATOK STREET 51', 'BUKIT BATOK STREET 34', 'BUKIT BATOK STREET 52', 'BUKIT BATOK WEST AVENUE 7', 'BUKIT BATOK STREET 22', 'BUKIT BATOK EAST AVENUE 6', 'BUKIT BATOK WEST AVENUE 9']"
BUKIT MERAH,"['BUKIT MERAH VIEW', 'SENG POH ROAD', 'TELOK BLANGAH DRIVE', 'DEPOT ROAD', 'REDHILL CLOSE', 'JALAN MEMBINA', 'BOON TIONG ROAD', 'JALAN BUKIT MERAH', 'KIM TIAN ROAD', 'BUKIT PURMEI ROAD', 'REDHILL ROAD', 'TELOK BLANGAH RISE', 'TELOK BLANGAH HEIGHTS', 'TELOK BLANGAH CRESCENT', 'CANTONMENT CLOSE', 'CANTONMENT ROAD', 'JALAN BUKIT HO SWEE', 'HENDERSON CRESCENT', 'JALAN RUMAH TINGGI', 'JALAN KLINIK', 'KIM TIAN PLACE', 'HAVELOCK ROAD', 'LENGKOK BAHRU', 'BUKIT MERAH CENTRAL', 'SPOTTISWOODE PARK ROAD', 'EVERTON PARK', 'TELOK BLANGAH WAY', 'HOY FATT ROAD', 'BEO CRESCENT', 'DELTA AVENUE', 'TAMAN HO SWEE', 'MOH GUAN TERRACE', 'BUKIT MERAH LANE 1', 'REDHILL LANE', 'INDUS ROAD', 'LIM LIAK STREET', 'TIONG BAHRU ROAD', 'SILAT AVENUE', 'KIM CHENG STREET', 'TELOK BLANGAH STREET 31', 'ZION ROAD', 'KIM PONG ROAD', 'LOWER DELTA ROAD', 'HENDERSON ROAD']"
BUKIT PANJANG,"['SEGAR ROAD', 'BUKIT PANJANG RING ROAD', 'SENJA ROAD', 'FAJAR ROAD', 'CASHEW ROAD', 'JELAPANG ROAD', 'PETIR ROAD', 'PENDING ROAD', 'GANGSA ROAD', 'BANGKIT ROAD', 'LOMPANG ROAD', 'JELEBU ROAD', 'SAUJANA ROAD', 'SENJA LINK']"
BUKIT TIMAH,"[""QUEEN'S ROAD"", 'FARRER ROAD', 'TOH YI DRIVE', 'EMPRESS ROAD']"
CENTRAL AREA,"['CANTONMENT ROAD', 'JALAN KUKOH', 'WATERLOO STREET', 'TANJONG PAGAR PLAZA', 'SMITH STREET', 'VEERASAMY ROAD', 'UPPER CROSS STREET', 'SELEGIE ROAD', 'KLANG LANE', 'KELANTAN ROAD', 'SAGO LANE', 'CHANDER ROAD', 'BAIN STREET', 'JALAN BERSEH', 'ROWELL ROAD', 'BUFFALO ROAD', 'QUEEN STREET', 'NEW MARKET ROAD', 'CHIN SWEE ROAD', 'KRETA AYER ROAD']"
CHOA CHU KANG,"['TECK WHYE AVENUE', 'CHOA CHU KANG DRIVE', 'CHOA CHU KANG AVENUE 5', 'TECK WHYE LANE', 'CHOA CHU KANG AVENUE 3', 'CHOA CHU KANG CRESCENT', 'CHOA CHU KANG NORTH 5', 'CHOA CHU KANG STREET 51', 'CHOA CHU KANG STREET 62', 'JALAN TECK WHYE', 'CHOA CHU KANG CENTRAL', 'CHOA CHU KANG AVENUE 4', 'CHOA CHU KANG AVENUE 2', 'CHOA CHU KANG NORTH 6', 'CHOA CHU KANG STREET 54', 'CHOA CHU KANG STREET 64', 'CHOA CHU KANG STREET 52', 'CHOA CHU KANG STREET 53', 'CHOA CHU KANG AVENUE 1', 'CHOA CHU KANG LOOP', 'CHOA CHU KANG NORTH 7', 'TECK WHYE CRESCENT', 'CHOA CHU KANG AVENUE 7', 'KEAT HONG CLOSE', 'KEAT HONG LINK']"
CLEMENTI,"['WEST COAST ROAD', 'CLEMENTI WEST STREET 1', 'CLEMENTI AVENUE 4', 'CLEMENTI AVENUE 2', 'WEST COAST DRIVE', 'CLEMENTI AVENUE 5', 'CLEMENTI WEST STREET 2', 'CLEMENTI AVENUE 3', 'CLEMENTI STREET 11', 'CLEMENTI STREET 13', 'CLEMENTI STREET 14', 'CLEMENTI AVENUE 6', 'COMMONWEALTH AVENUE WEST', 'CLEMENTI AVENUE 1', 'CLEMENTI STREET 12']"
