iter	RMSE
0	144659.4459
1	135659.2749
2	127643.6391
3	119927.2965
4	113207.197
5	107132.5915
6	101915.1107
7	97116.42777
8	92514.63787
9	88654.71127
10	85232.8302
11	82174.46894
12	79132.90433
13	76267.83099
14	73719.96452
15	71498.21979
16	69675.67505
17	67980.09499
18	66112.91573
19	64473.25149
20	62977.62786
21	61637.01594
22	60471.86476
23	59408.73836
24	58332.11012
25	57520.84977
26	56607.45617
27	55767.82919
28	55016.75682
29	54339.90617
30	53637.08915
31	53062.3718
32	52497.81163
33	51971.42143
34	51533.33913
35	51071.08854
36	50683.7669
37	50314.67318
38	49903.95184
39	49554.18222
40	49235.11679
41	48929.32348
42	48566.04768
43	48314.61584
44	48072.11402
45	47786.18518
46	47562.98563
47	47327.82645
48	47128.50122
49	46941.46241
50	46769.1745
51	46554.39407
52	46276.33931
53	46133.99019
54	45751.11183
55	45571.36865
56	45420.64756
57	45234.20921
58	45035.50556
59	44844.70101
60	44655.91089
61	44506.64128
62	44320.16611
63	44019.1317
64	43830.70722
65	43653.36906
66	43491.76873
67	43337.1824
68	43154.13002
69	43029.04296
70	42802.08849
71	42676.83141
72	42561.5638
73	42444.58828
74	42271.52821
75	42117.05618
76	41968.23168
77	41825.73892
78	41731.51109
79	41612.73893
80	41516.25922
81	41381.72706
82	41298.72917
83	41193.55851
84	41051.17779
85	40980.42009
86	40878.33124
87	40746.36404
88	40639.35012
89	40461.80486
90	40376.46591
91	40287.15715
92	40230.25284
93	40111.09534
94	39964.8004
95	39846.10667
96	39722.17378
97	39634.47622
98	39566.22847
99	39507.09728
100	39432.95543
101	39386.47908
102	39300.43009
103	39223.184
104	39112.89813
105	39042.6629
106	38950.99704
107	38837.01815
108	38746.66904
109	38653.45412
110	38598.13268
111	38528.39837
112	38470.86702
113	38418.23737
114	38343.97222
115	38306.5661
116	38215.43312
117	38166.71156
118	38070.66148
119	38014.57868
120	37908.48266
121	37860.34494
122	37769.64037
123	37683.6071
124	37648.72745
125	37582.11517
126	37502.64939
127	37428.52549
128	37364.05841
129	37309.28431
130	37278.5324
131	37213.56177
132	37162.21944
133	37109.56913
134	37044.70255
135	37009.61513
136	36926.72951
137	36883.56373
138	36809.37825
139	36744.99898
140	36687.35468
141	36619.9641
142	36556.50119
143	36526.02025
144	36455.83375
145	36409.46092
146	36370.45096
147	36315.54093
148	36245.35917
149	36190.02668
150	36124.05518
151	36096.86546
152	36044.69499
153	35997.68506
154	35954.24429
155	35906.96631
156	35810.49967
157	35768.15597
158	35716.19467
159	35655.40229
160	35632.38211
161	35596.10198
162	35569.45702
163	35497.78632
164	35443.58991
165	35398.03121
166	35294.59748
167	35242.75128
168	35189.21259
169	35158.69148
170	35120.58654
171	35062.14101
172	35022.99172
173	34924.3241
174	34869.44256
175	34830.17062
176	34781.27905
177	34728.51473
178	34677.44154
179	34626.33613
180	34584.26611
181	34531.9589
182	34480.84973
183	34443.5044
