iter	Passed	Remaining
0	8	8333
1	16	8139
2	24	8050
3	31	7909
4	40	8048
5	48	7995
6	56	7998
7	64	7986
8	73	8047
9	81	8072
10	90	8132
11	99	8198
12	108	8237
13	118	8317
14	127	8368
15	137	8463
16	147	8524
17	157	8578
18	167	8637
19	178	8729
20	189	8820
21	199	8857
22	209	8917
23	220	8964
24	232	9084
25	246	9251
26	259	9357
27	269	9366
28	280	9377
29	290	9377
30	300	9402
31	311	9420
32	322	9439
33	332	9447
34	343	9471
35	354	9496
36	364	9499
37	375	9507
38	386	9518
39	397	9548
40	410	9600
41	422	9630
42	434	9666
43	445	9678
44	456	9696
45	468	9715
46	480	9747
47	491	9752
48	504	9799
49	517	9837
50	530	9866
51	542	9883
52	555	9930
53	568	9956
54	580	9970
55	592	9995
56	604	10005
57	616	10019
58	628	10029
59	641	10043
60	652	10044
61	663	10045
62	676	10055
63	686	10042
64	697	10039
65	710	10051
66	721	10053
67	734	10067
68	746	10070
69	758	10079
70	771	10097
71	784	10110
72	796	10117
73	808	10117
74	820	10120
75	833	10128
76	844	10120
77	855	10110
78	866	10103
79	878	10107
80	891	10111
81	902	10103
82	914	10104
83	926	10098
84	938	10098
85	948	10085
86	960	10081
87	973	10086
88	984	10079
89	997	10086
90	1010	10090
91	1024	10115
92	1036	10113
93	1048	10105
94	1059	10093
95	1071	10092
96	1083	10086
97	1094	10069
98	1105	10060
99	1118	10065
100	1129	10056
101	1141	10053
102	1153	10043
103	1164	10030
104	1175	10023
105	1188	10021
106	1200	10020
107	1212	10017
108	1223	10002
109	1236	10001
110	1247	9993
111	1260	9993
112	1271	9979
113	1286	9995
114	1298	9990
115	1310	9984
116	1323	9985
117	1335	9985
118	1347	9978
119	1360	9976
120	1372	9970
121	1384	9963
122	1396	9956
123	1409	9953
124	1421	9951
125	1435	9954
126	1447	9948
127	1461	9953
128	1474	9958
129	1487	9952
130	1499	9945
131	1510	9932
132	1523	9933
133	1539	9949
134	1553	9952
135	1566	9948
136	1578	9944
137	1590	9933
138	1602	9928
139	1615	9922
140	1628	9918
141	1640	9912
142	1652	9901
143	1663	9890
144	1676	9883
145	1689	9882
146	1702	9880
147	1715	9877
148	1728	9872
149	1742	9873
150	1756	9874
151	1770	9877
152	1784	9876
153	1797	9875
154	1810	9870
155	1823	9865
156	1836	9860
157	1849	9855
158	1861	9846
159	1873	9834
160	1884	9821
161	1899	9824
162	1912	9823
163	1926	9818
164	1937	9804
165	1949	9796
166	1965	9805
167	1985	9833
168	2009	9879
169	2022	9874
170	2038	9882
171	2051	9877
172	2064	9870
173	2078	9867
174	2092	9864
175	2105	9858
176	2119	9854
177	2131	9845
178	2144	9834
179	2156	9825
180	2169	9817
181	2181	9806
182	2194	9798
183	2207	9788
184	2219	9776
185	2231	9765
186	2243	9752
187	2255	9743
188	2269	9737
189	2282	9732
190	2294	9719
191	2307	9708
192	2319	9698
193	2331	9685
194	2344	9677
195	2356	9666
196	2368	9652
197	2379	9638
198	2391	9626
199	2404	9617
200	2417	9609
201	2429	9599
202	2441	9585
203	2454	9579
204	2469	9576
205	2484	9576
206	2498	9570
207	2511	9564
208	2525	9557
209	2539	9553
210	2553	9547
211	2567	9541
212	2581	9539
213	2595	9533
214	2610	9529
215	2622	9519
216	2636	9514
217	2651	9511
218	2665	9507
219	2679	9498
220	2693	9492
221	2705	9482
222	2719	9475
223	2733	9470
224	2748	9465
225	2761	9458
226	2774	9449
227	2787	9439
228	2802	9434
